GroupNumber,WinRate_1,WinRate_2,WinRate_3,WinRate_8,WinRate_9,WinRate_10
0,0.38461538461538464,0.6956521739130435,0.6190476190476191,1.0,-1.0,-1.0
1,0.5833333333333334,0.58,0.6875,1.0,-1.0,-1.0
2,0.5384615384615384,0.7755102040816326,0.6875,1.0,-1.0,-1.0
3,0.2857142857142857,0.5416666666666666,0.6,0.0,-1.0,-1.0
4,0.23076923076923078,0.3673469387755102,0.6470588235294118,-1.0,0.0,-1.0
5,0.5,0.46153846153846156,0.5384615384615384,0.0,-1.0,-1.0
6,0.4166666666666667,0.37254901960784315,0.3333333333333333,0.0,-1.0,-1.0
7,0.21428571428571427,0.22,0.3076923076923077,1.0,-1.0,-1.0
8,0.23076923076923078,0.45098039215686275,0.38461538461538464,0.0,-1.0,-1.0
9,0.23076923076923078,0.5208333333333334,0.3684210526315789,-1.0,1.0,-1.0
10,0.5,0.6938775510204082,0.4,-1.0,-1.0,0.0
11,0.9230769230769231,0.5555555555555556,1.0,-1.0,1.0,-1.0
12,0.14285714285714285,0.3877551020408163,0.6428571428571429,-1.0,0.0,-1.0
13,0.35714285714285715,0.2653061224489796,0.13333333333333333,-1.0,1.0,-1.0
14,0.5384615384615384,0.4,0.5294117647058824,-1.0,1.0,-1.0
15,0.3333333333333333,0.5217391304347826,0.4375,1.0,-1.0,-1.0
16,0.13333333333333333,0.23404255319148937,0.21428571428571427,0.0,-1.0,-1.0
17,0.2857142857142857,0.574468085106383,0.47058823529411764,0.0,-1.0,-1.0
18,0.38461538461538464,0.6274509803921569,0.6923076923076923,0.0,-1.0,-1.0
19,0.6428571428571429,0.48,0.7692307692307693,-1.0,1.0,-1.0
20,0.6923076923076923,0.6808510638297872,0.6842105263157895,1.0,-1.0,-1.0
21,0.75,0.6792452830188679,0.7692307692307693,-1.0,1.0,-1.0
22,0.42857142857142855,0.5531914893617021,0.47058823529411764,0.0,-1.0,-1.0
23,0.46153846153846156,0.4117647058823529,0.7857142857142857,-1.0,1.0,-1.0
24,0.25,0.25,0.14285714285714285,0.0,-1.0,-1.0
25,0.3076923076923077,0.6078431372549019,0.7142857142857143,-1.0,-1.0,0.0
26,0.6666666666666666,0.6730769230769231,0.6428571428571429,0.0,-1.0,-1.0
27,0.6666666666666666,0.32,0.18181818181818182,-1.0,0.0,-1.0
28,0.5,0.574468085106383,0.6666666666666666,-1.0,1.0,-1.0
29,0.4166666666666667,0.6851851851851852,0.6666666666666666,1.0,-1.0,-1.0
